"Province_State" "Country_Region" "Confirmed" "Deaths"
"Afghanistan" "Afghanistan" 156071 7262
"Albania" "Albania" 182610 2888
"Algeria" "Algeria" 205990 5899
"Andorra" "Andorra" 15425 130
"Angola" "Angola" 64033 1702
"Antigua and Barbuda" "Antigua and Barbuda" 4031 99
"Argentina" "Argentina" 5283000 115866
"Armenia" "Armenia" 298069 6112
"Australian Capital Territory" "Australia" 1741 11
"New South Wales" "Australia" 74362 560
"Northern Territory" "Australia" 225 0
"Queensland" "Australia" 2086 7
"South Australia" "Australia" 918 4
"Tasmania" "Australia" 237 13
"Victoria" "Australia" 83185 1065
"Western Australia" "Australia" 1112 9
"Austria" "Austria" 804825 11279
"Azerbaijan" "Azerbaijan" 520068 6939
"Bahamas" "Bahamas" 22259 642
"Bahrain" "Bahrain" 276635 1393
"Bangladesh" "Bangladesh" 1568257 27834
"Barbados" "Barbados" 16033 143
"Belarus" "Belarus" 590226 4546
"Antwerp" "Belgium" 176646 0
"Brussels" "Belgium" 180252 0
"East Flanders" "Belgium" 148436 0
"Flemish Brabant" "Belgium" 108171 0
"Hainaut" "Belgium" 181352 0
"Liege" "Belgium" 162464 0
"Limburg" "Belgium" 75197 0
"Luxembourg" "Belgium" 37300 0
"Namur" "Belgium" 68464 0
"Walloon Brabant" "Belgium" 52692 0
"West Flanders" "Belgium" 117055 0
"Belize" "Belize" 26152 482
"Benin" "Benin" 24678 161
"Bhutan" "Bhutan" 2617 3
"Bolivia" "Bolivia" 510470 18903
"Bosnia and Herzegovina" "Bosnia and Herzegovina" 250165 11423
"Botswana" "Botswana" 185985 2402
"Acre" "Brazil" 88040 1845
"Alagoas" "Brazil" 239845 6282
"Amapa" "Brazil" 123508 1991
"Amazonas" "Brazil" 427577 13765
"Bahia" "Brazil" 1243641 27042
"Ceara" "Brazil" 943027 24478
"Distrito Federal" "Brazil" 514035 10831
"Espirito Santo" "Brazil" 604410 12855
"Goias" "Brazil" 898558 24119
"Maranhao" "Brazil" 360278 10227
"Mato Grosso" "Brazil" 542670 13675
"Mato Grosso do Sul" "Brazil" 376098 9637
"Minas Gerais" "Brazil" 2179609 55402
"Para" "Brazil" 597343 16734
"Paraiba" "Brazil" 445012 9399
"Parana" "Brazil" 1548139 40357
"Pernambuco" "Brazil" 629223 19959
"Piaui" "Brazil" 324542 7087
"Rio Grande do Norte" "Brazil" 372219 7381
"Rio Grande do Sul" "Brazil" 1458946 35364
"Rio de Janeiro" "Brazil" 1315560 68108
"Rondonia" "Brazil" 269322 6564
"Roraima" "Brazil" 127240 2029
"Santa Catarina" "Brazil" 1212748 19598
"Sao Paulo" "Brazil" 4400932 151623
"Sergipe" "Brazil" 278465 6027
"Tocantins" "Brazil" 227997 3867
"Brunei" "Brunei" 12595 82
"Bulgaria" "Bulgaria" 582122 23440
"Burkina Faso" "Burkina Faso" 14793 214
"Burma" "Burma" 495898 18582
"Burundi" "Burundi" 19954 38
"Cabo Verde" "Cabo Verde" 38151 349
"Cambodia" "Cambodia" 118000 2751
"Cameroon" "Cameroon" 100289 1600
"Alberta" "Canada" 321210 3063
"British Columbia" "Canada" 200898 2109
"Diamond Princess" "Canada" 0 1
"Grand Princess" "Canada" 13 0
"Manitoba" "Canada" 62977 1237
"New Brunswick" "Canada" 6206 111
"Newfoundland and Labrador" "Canada" 1964 15
"Northwest Territories" "Canada" 1843 10
"Nova Scotia" "Canada" 7272 100
"Nunavut" "Canada" 674 4
"Ontario" "Canada" 606288 9904
"Prince Edward Island" "Canada" 315 0
"Quebec" "Canada" 423334 11481
"Repatriated Travellers" "Canada" 13 0
"Saskatchewan" "Canada" 76607 827
"Yukon" "Canada" 892 10
"Central African Republic" "Central African Republic" 11518 100
"Chad" "Chad" 5069 174
"Antofagasta" "Chile" 62654 1254
"Araucania" "Chile" 98884 1515
"Arica y Parinacota" "Chile" 27824 536
"Atacama" "Chile" 27742 358
"Aysen" "Chile" 8449 79
"Biobio" "Chile" 152923 2699
"Coquimbo" "Chile" 49715 1033
"Los Lagos" "Chile" 89705 1411
"Los Rios" "Chile" 49789 697
"Magallanes" "Chile" 29287 499
"Maule" "Chile" 103579 1795
"Metropolitana" "Chile" 709472 19308
"Nuble" "Chile" 36571 647
"OHiggins" "Chile" 69836 1563
"Tarapaca" "Chile" 42302 810
"Valparaiso" "Chile" 125828 3487
"Anhui" "China" 1008 6
"Beijing" "China" 1150 9
"Chongqing" "China" 603 6
"Fujian" "China" 1300 1
"Gansu" "China" 255 2
"Guangdong" "China" 3217 8
"Guangxi" "China" 330 2
"Guizhou" "China" 158 2
"Hainan" "China" 190 6
"Hebei" "China" 1321 7
"Heilongjiang" "China" 1713 13
"Henan" "China" 1555 22
"Hong Kong" "China" 12330 213
"Hubei" "China" 68305 4512
"Hunan" "China" 1197 4
"Inner Mongolia" "China" 531 1
"Jiangsu" "China" 1600 0
"Jiangxi" "China" 937 1
"Jilin" "China" 577 3
"Liaoning" "China" 466 2
"Macau" "China" 77 0
"Ningxia" "China" 99 0
"Qinghai" "China" 19 0
"Shaanxi" "China" 697 3
"Shandong" "China" 973 7
"Shanghai" "China" 2709 7
"Shanxi" "China" 260 0
"Sichuan" "China" 1221 3
"Tianjin" "China" 503 3
"Tibet" "China" 1 0
"Xinjiang" "China" 981 3
"Yunnan" "China" 1558 2
"Zhejiang" "China" 1465 1
"Amazonas" "Colombia" 6837 255
"Antioquia" "Colombia" 754931 16271
"Arauca" "Colombia" 13562 463
"Atlantico" "Colombia" 328471 9545
"Bolivar" "Colombia" 157599 2983
"Boyaca" "Colombia" 105654 2560
"Caldas" "Colombia" 100622 2271
"Capital District" "Colombia" 1454115 27545
"Caqueta" "Colombia" 22921 938
"Casanare" "Colombia" 35633 927
"Cauca" "Colombia" 56124 1563
"Cesar" "Colombia" 89704 2501
"Choco" "Colombia" 16419 400
"Cordoba" "Colombia" 104127 3740
"Cundinamarca" "Colombia" 264247 6819
"Guainia" "Colombia" 2307 29
"Guaviare" "Colombia" 5142 97
"Huila" "Colombia" 88387 3142
"La Guajira" "Colombia" 42973 1350
"Magdalena" "Colombia" 96047 3356
"Meta" "Colombia" 89638 2276
"Narino" "Colombia" 89787 3027
"Norte de Santander" "Colombia" 92197 4311
"Putumayo" "Colombia" 16421 671
"Quindio" "Colombia" 56727 1754
"Risaralda" "Colombia" 87845 2229
"San Andres y Providencia" "Colombia" 7008 136
"Santander" "Colombia" 226115 7309
"Sucre" "Colombia" 59225 1624
"Tolima" "Colombia" 107553 3664
"Valle del Cauca" "Colombia" 410938 13011
"Vaupes" "Colombia" 1784 17
"Vichada" "Colombia" 2954 53
"Comoros" "Comoros" 4233 147
"Congo (Kinshasa)" "Congo" 57453 1091
"Costa Rica" "Costa Rica" 557922 6997
"Cote d'Ivoire" "Cote d'Ivoire" 61221 691
"Croatia" "Croatia" 449365 9090
"Cuba" "Cuba" 947935 8201
"Cyprus" "Cyprus" 123546 571
"Czechia" "Czechia" 1735552 30648
"Faroe Islands" "Denmark" 1714 2
"Greenland" "Denmark" 772 0
"Denmark" "Denmark" 379078 2703
"Diamond Princess" "Diamond Princess" 712 13
"Djibouti" "Djibouti" 13461 181
"Dominica" "Dominica" 4659 30
"Dominican Republic" "Dominican Republic" 377385 4114
"Ecuador" "Ecuador" 515659 32953
"Egypt" "Egypt" 326379 18375
"El Salvador" "El Salvador" 113422 3586
"Equatorial Guinea" "Equatorial Guinea" 13236 163
"Eritrea" "Eritrea" 6798 45
"Estonia" "Estonia" 184509 1477
"Eswatini" "Eswatini" 46390 1242
"Ethiopia" "Ethiopia" 363240 6393
"Fiji" "Fiji" 52028 673
"Finland" "Finland" 155547 1149
"French Guiana" "France" 44225 302
"French Polynesia" "France" 45506 635
"Guadeloupe" "France" 54288 815
"Martinique" "France" 42903 673
"Mayotte" "France" 20497 182
"New Caledonia" "France" 10687 261
"Reunion" "France" 54438 372
"Saint Barthelemy" "France" 1659 6
"Saint Pierre and Miquelon" "France" 32 0
"St Martin" "France" 3920 55
"Wallis and Futuna" "France" 454 7
"France" "France" 6956491 115182
"Gabon" "Gabon" 34898 230
"Gambia" "Gambia" 9959 340
"Georgia" "Georgia" 698944 9831
"Baden-Wurttemberg" "Germany" 619385 10936
"Bayern" "Germany" 796338 16006
