"Province_State";"Country_Region";"Lat";"Long_";"Confirmed";"Deaths"
"Afghanistan";"Afghanistan";33.93911;67.709953;156896;7365
"Albania";"Albania";41.1533;20.1683;195988;3035
"Algeria";"Algeria";28.0339;1.6596;208952;6021
"Andorra";"Andorra";42.5063;1.5218;16086;130
"Angola";"Angola";-11.2027;17.8739;65024;1730
"Antigua and Barbuda";"Antigua and Barbuda";17.0608;-61.7964;4135;108
"Argentina";"Argentina";-38.4161;-63.6167;5315348;116377
"Armenia";"Armenia";40.0691;45.0382;334075;7278
"Australian Capital Territory";"Australia";-35.4735;149.0124;2053;14
"New South Wales";"Australia";-33.8688;151.2093;79997;621
"Northern Territory";"Australia";-12.4634;130.8456;265;0
"Queensland";"Australia";-27.4698;153.0251;2112;7
"South Australia";"Australia";-34.9285;138.6007;922;4
"Tasmania";"Australia";-42.8821;147.3272;238;13
"Victoria";"Australia";-37.8136;144.9631;112942;1280
"Western Australia";"Australia";-31.9505;115.8605;1120;9
"Austria";"Austria";47.5162;14.5501;1056613;12015
"Azerbaijan";"Azerbaijan";40.1431;47.5769;573974;7624
"Bahamas";"Bahamas";25.025885;-78.035889;22655;671
"Bahrain";"Bahrain";26.0275;50.55;277389;1394
"Bangladesh";"Bangladesh";23.685;90.3563;1574088;27953
"Barbados";"Barbados";13.1939;-59.5432;23795;210
"Belarus";"Belarus";53.7098;27.9534;640206;4948
"Antwerp";"Belgium";51.2195;4.4024;220151;0
"Brussels";"Belgium";50.8503;4.3517;198806;0
"East Flanders";"Belgium";51.0362;3.7373;182216;0
"Flemish Brabant";"Belgium";50.9167;4.5833;131091;0
"Hainaut";"Belgium";50.5257;4.0621;201707;0
"Liege";"Belgium";50.4496;5.8492;186832;0
"Limburg";"Belgium";50.9739;5.342;96245;0
"Luxembourg";"Belgium";50.0547;5.4677;43335;0
"Namur";"Belgium";50.331;4.8221;79472;0
"Walloon Brabant";"Belgium";50.4;4.35;61042;0
"West Flanders";"Belgium";51.0536;3.1458;152362;0
