"Country_Region" "X2021.01.01" "X2021.01.02" "X2021.01.03" "X2021.01.04" "X2021.01.05" "X2021.01.06" "X2021.01.07" "X2021.01.08" "X2021.01.09" "X2021.01.10" "X2021.01.11" "X2021.01.12" "X2021.01.13" "X2021.01.14" "X2021.01.15" "X2021.01.16" "X2021.01.17" "X2021.01.18" "X2021.01.19" "X2021.01.20" "X2021.01.21" "X2021.01.22" "X2021.01.23" "X2021.01.24" "X2021.01.25" "X2021.01.26" "X2021.01.27" "X2021.01.28" "X2021.01.29" "X2021.01.30" "X2021.01.31" "X2021.02.01" "X2021.02.02" "X2021.02.03" "X2021.02.04" "X2021.02.05" "X2021.02.06" "X2021.02.07" "X2021.02.08" "X2021.02.09" "X2021.02.10" "X2021.02.11" "X2021.02.12" "X2021.02.13" "X2021.02.14" "X2021.02.15" "X2021.02.16" "X2021.02.17" "X2021.02.18" "X2021.02.19" "X2021.02.20" "X2021.02.21" "X2021.02.22" "X2021.02.23" "X2021.02.24" "X2021.02.25" "X2021.02.26" "X2021.02.27" "X2021.02.28" "X2021.03.01" "X2021.03.02" "X2021.03.03" "X2021.03.04" "X2021.03.05" "X2021.03.06" "X2021.03.07" "X2021.03.08" "X2021.03.09" "X2021.03.10" "X2021.03.11" "X2021.03.12" "X2021.03.13" "X2021.03.14" "X2021.03.15" "X2021.03.16" "X2021.03.17" "X2021.03.18" "X2021.03.19" "X2021.03.20" "X2021.03.21" "X2021.03.22" "X2021.03.23" "X2021.03.24" "X2021.03.25" "X2021.03.26" "X2021.03.27" "X2021.03.28" "X2021.03.29" "X2021.03.30" "X2021.03.31" "X2021.04.01" "X2021.04.02" "X2021.04.03" "X2021.04.04" "X2021.04.05" "X2021.04.06" "X2021.04.07" "X2021.04.08" "X2021.04.09" "X2021.04.10" "X2021.04.11" "X2021.04.12" "X2021.04.13" "X2021.04.14" "X2021.04.15" "X2021.04.16" "X2021.04.17" "X2021.04.18" "X2021.04.19" "X2021.04.20" "X2021.04.21" "X2021.04.22" "X2021.04.23" "X2021.04.24" "X2021.04.25" "X2021.04.26" "X2021.04.27" "X2021.04.28" "X2021.04.29" "X2021.04.30" "X2021.05.01" "X2021.05.02" "X2021.05.03" "X2021.05.04" "X2021.05.05" "X2021.05.06" "X2021.05.07" "X2021.05.08" "X2021.05.09" "X2021.05.10" "X2021.05.11" "X2021.05.12" "X2021.05.13" "X2021.05.14" "X2021.05.15" "X2021.05.16" "X2021.05.17" "X2021.05.18" "X2021.05.19" "X2021.05.20" "X2021.05.21" "X2021.05.22" "X2021.05.23" "X2021.05.24" "X2021.05.25" "X2021.05.26" "X2021.05.27" "X2021.05.28" "X2021.05.29" "X2021.05.30" "X2021.05.31" "X2021.06.01" "X2021.06.02" "X2021.06.03" "X2021.06.04" "X2021.06.05" "X2021.06.06" "X2021.06.07" "X2021.06.08" "X2021.06.09" "X2021.06.10" "X2021.06.11" "X2021.06.12" "X2021.06.13" "X2021.06.14" "X2021.06.15" "X2021.06.16" "X2021.06.17" "X2021.06.18" "X2021.06.19" "X2021.06.20" "X2021.06.21" "X2021.06.22" "X2021.06.23" "X2021.06.24" "X2021.06.25" "X2021.06.26" "X2021.06.27" "X2021.06.28" "X2021.06.29" "X2021.06.30" "X2021.07.01" "X2021.07.02" "X2021.07.03" "X2021.07.04" "X2021.07.05" "X2021.07.06" "X2021.07.07" "X2021.07.08" "X2021.07.09" "X2021.07.10" "X2021.07.11" "X2021.07.12" "X2021.07.13" "X2021.07.14" "X2021.07.15" "X2021.07.16" "X2021.07.17" "X2021.07.18" "X2021.07.19" "X2021.07.20" "X2021.07.21" "X2021.07.22" "X2021.07.23" "X2021.07.24" "X2021.07.25" "X2021.07.26" "X2021.07.27" "X2021.07.28" "X2021.07.29" "X2021.07.30" "X2021.07.31" "X2021.08.01" "X2021.08.02" "X2021.08.03" "X2021.08.04" "X2021.08.05" "X2021.08.06" "X2021.08.07" "X2021.08.08" "X2021.08.09" "X2021.08.10" "X2021.08.11" "X2021.08.12" "X2021.08.13" "X2021.08.14" "X2021.08.15" "X2021.08.16" "X2021.08.17" "X2021.08.18" "X2021.08.19" "X2021.08.20" "X2021.08.21" "X2021.08.22" "X2021.08.23" "X2021.08.24" "X2021.08.25" "X2021.08.26" "X2021.08.27" "X2021.08.28" "X2021.08.29" "X2021.08.30" "X2021.08.31" "X2021.09.01" "X2021.09.02" "X2021.09.03" "X2021.09.04" "X2021.09.05" "X2021.09.06" "X2021.09.07" "X2021.09.08" "X2021.09.09" "X2021.09.10" "X2021.09.11" "X2021.09.12" "X2021.09.13" "X2021.09.14" "X2021.09.15" "X2021.09.16" "X2021.09.17" "X2021.09.18" "X2021.09.19" "X2021.09.20" "X2021.09.21" "X2021.09.22" "X2021.09.23" "X2021.09.24" "X2021.09.25" "X2021.09.26" "X2021.09.27" "X2021.09.28" "X2021.09.29" "X2021.09.30" "X2021.10.01" "X2021.10.02" "X2021.10.03" "X2021.10.04" "X2021.10.05" "X2021.10.06" "X2021.10.07" "X2021.10.08" "X2021.10.09" "X2021.10.10" "X2021.10.11" "X2021.10.12" "X2021.10.13" "X2021.10.14" "X2021.10.15" "X2021.10.16" "X2021.10.17" "X2021.10.18" "X2021.10.19" "X2021.10.20" "X2021.10.21" "X2021.10.22" "X2021.10.23" "X2021.10.24" "X2021.10.25" "X2021.10.26" "X2021.10.27" "X2021.10.28" "X2021.10.29" "X2021.10.30" "X2021.10.31" "X2021.11.01" "X2021.11.02" "X2021.11.03" "X2021.11.04" "X2021.11.05" "X2021.11.06" "X2021.11.07" "X2021.11.08" "X2021.11.09" "X2021.11.10" "X2021.11.11" "X2021.11.12" "X2021.11.13" "X2021.11.14" "X2021.11.15" "X2021.11.16" "X2021.11.17" "X2021.11.18" "X2021.11.19" "X2021.11.20" "X2021.11.21"
"1" "Afghanistan" 183 256 379 579 681 775 877 1002 1070 1159 1208 1254 1360 1445 1501 1608 1654 1732 1811 1948 2073 2153 2229 2265 2342 2420 2524 2561 2609 2678 2693 2729 2791 2844 2901 2935 3000 3005 3029 3054 3072 3090 3115 3143 3162 3184 3188 3210 3227 3245 3250 3274 3287 3316 3334 3350 3366 3377 3384 3403 3429 3440 3445 3497 3510 3517 3546 3546 3564 3587 3629 3629 3655 3655 3665 3686 3714 3739 3763 3773 3823 3847 3862 3896 3924 3960 3964 3992 4054 4124 4187 4242 4265 4346 4387 4449 4543 4613 4689 4814 4830 4912 5034 5162 5204 5282 5391 5463 5568 5707 5884 5982 6212 6400 6513 6685 6895 7040 7246 7415 7609 7792 7970 8233 8467 8832 9125 9425 9512 9733 10073 10388 10715 11025 11082 11154 11268 11489 11792 12245 12750 13156 13398 13945 14573 15413 16036 16800 17781 18431 19508 20647 21696 22789 24298 25633 26894 28511 29996 31720 33562 35386 36410 37531 39128 40942 40958 44201 46404 48191 49576 51572 53419 55627 57202 59262 60794 61890 63421 64828 66329 67886 69826 71155 72418 73607 75134 76691 77783 79256 80447 81248 82323 83559 84313 85523 86721 87894 88272 89169 90084 90432 90853 91109 91336 91541 91955 92678 93222 93666 94193 94824 95171 95655 96242 96603 97031 97480 97910 98128 98448 98683 98961 99233 99440 99611 99703 99812 99913 100033 100081 100118 100167 100181 100253 100330 100392 100492 100630 100677 100703 100818 100890 100930 100976 101045 101065 101093 101204 101296 101406 101510 101632 101652 101660 101764 101850 101953 102031 102157 102157 102157 102255 102382 102427 102470 102630 102630 102630 102742 102763 102798 102844 102861 102861 102861 102957 102979 103050 103099 103118 103136 103178 103210 103269 103297 103352 103358 103409 103434 103446 103471 103529 103561 103601 103610 103614 103710 103741 103794 103836 103866 103880 103920 103954 103977 103993 104033 104062 104067 104067 104067 104067 104084 104126 104157 104180 104222 104280 104319 104409 104409 104482 104534 104566
"2" "Albania" 0 675 1122 1307 1967 2692 3389 4062 4717 5279 5655 6311 7018 7678 8319 8900 9374 9666 10252 10922 11600 12339 13125 13958 14496 15375 16251 17138 18034 18935 19811 20676 21618 22625 23677 24766 25896 27020 27973 29212 30355 31460 32519 33671 34759 35534 36335 37410 38522 39593 40746 41930 42969 43990 45011 45997 46913 47899 48851 49615 50507 51358 52205 52985 53762 54581 55264 55893 56524 57126 57807 58505 59158 59701 60176 60622 61212 61706 62225 62884 63228 63531 63979 64451 64900 65325 65818 66103 66407 66841 67190 67526 67867 68215 68479 68620 68876 69193 69479 69839 70077 70202 70436 70643 70812 70991 71140 71278 71378 71526 71664 71798 71954 72093 72221 72290 72420 72543 72661 72769 72869 72922 72960 73011 73103 73194 73261 73350 73407 73437 73487 73529 73574 73623 73662 73699 73716 73755 73779 73802 73837 73860 73893 73899 73913 73928 73948 73969 73981 73993 73999 74021 74035 74044 74056 74058 74063 74068 74081 74099 74110 74121 74133 74143 74145 74153 74160 74165 74168 74172 74174 74174 74180 74181 74183 74190 74193 74196 74197 74198 74205 74207 74210 74218 74219 74221 74228 74241 74249 74264 74271 74276 74281 74292 74300 74313 74331 74349 74370 74381 74424 74447 74481 74512 74537 74559 74575 74606 74636 74683 74720 74765 74805 74830 74895 74994 75126 75275 75414 75596 75665 75885 76171 76445 76824 77234 77631 77831 78282 78759 79281 79816 80474 81008 81405 82205 83049 83937 84858 85763 86531 87017 88071 89053 89906 90801 91785 92681 93183 93923 95002 96000 96977 97846 98710 99120 100115 101107 102049 103008 103857 104637 105088 105960 106780 107548 108374 109038 109577 109872 110466 111146 111815 112462 113011 113478 113478 114302 114874 115407 115852 116327 116652 116847 117348 117856 118351 118792 119220 119655 119872 120488 121147 121713 122307 122936 123380 123644 124294 124966 125557 126024 126571 126984 127181 127906 128477 129047 129678 129678 130809 131039 131809 132499 133124 133697 134284 134759 134953 135540 136156 136705 137207 137672 137672
"3" "Algeria" 287 549 798 1035 1263 1510 1772 2047 2303 2534 2759 3031 3250 3517 3771 4001 4223 4482 4731 4996 5242 5514 5759 5986 6244 6487 6749 7000 7277 7512 7729 7968 8231 8506 8771 9019 9019 9478 9703 9949 10172 10439 10693 10903 11101 11284 11459 11637 11808 11990 12154 12307 12484 12669 12851 13012 13195 13350 13482 13645 13820 13983 14151 14338 14494 14624 14772 14933 15071 15241 15398 15533 15655 15800 15930 16078 16232 16360 16456 16547 16645 16739 16828 16933 17047 17140 17226 17336 17451 17582 17694 17819 17914 18012 18129 18269 18394 18506 18641 18768 18906 19035 19189 19365 19532 19713 19876 20032 20195 20382 20564 20753 20952 21126 21312 21502 21734 21970 22256 22498 22701 22912 23107 23389 23662 23863 24082 24290 24494 24678 24873 25072 25279 25449 25584 25701 25875 26083 26286 26546 26824 27041 27250 27497 27751 28036 28316 28588 28846 29115 29303 29608 30030 30366 30751 31071 31348 31673 32037 32424 32745 33117 33460 33778 34132 34505 34848 35230 35609 35976 36211 36684 37069 37439 37793 38162 38503 38855 39230 39619 40016 40465 40940 41397 41861 42356 42837 43422 44042 44873 45686 46454 47332 48273 49187 50296 51493 52600 53699 54876 56174 57395 58603 59953 61258 62545 64050 65594 67521 69058 70579 71782 72954 74312 75619 77114 78403 79606 80746 81766 82758 83737 84581 85432 86292 87045 87648 88358 89053 89774 90468 91046 91561 91973 92479 93016 93561 94064 94576 95061 95552 95964 96470 96917 97305 97698 98049 98394 98703 99035 99352 99665 99950 100212 100458 100691 100918 101160 101379 101614 101815 101990 102156 102338 102512 102673 102839 102964 103112 103267 103435 103588 103749 103907 104047 104179 104305 104436 104561 104666 104778 104880 104987 105085 105180 105290 105395 105496 105589 105676 105754 105843 105919 105989 106073 106140 106212 106293 106380 106459 106550 106660 106748 106842 106956 107039 107144 107268 107385 107469 107546 107644 107775 107899 108014 108154 108263 108360 108494 108635 108770 108922 109085 109229 109342
"4" "Andorra" 68 117 143 200 259 299 299 440 537 537 537 633 769 819 897 989 1034 1034 1145 1259 1330 1367 1450 1500 1547 1589 1667 1730 1788 1836 1888 1923 1968 2021 2088 2123 2157 2202 2226 2263 2303 2342 2378 2414 2454 2489 2506 2534 2561 2596 2623 2650 2663 2690 2726 2750 2773 2800 2817 2840 2859 2899 2927 2949 2970 2993 3020 3040 3081 3081 3150 3179 3217 3240 3270 3311 3344 3382 3432 3468 3496 3542 3589 3638 3683 3760 3801 3839 3895 3961 4004 4066 4125 4182 4237 4279 4314 4360 4407 4448 4496 4532 4565 4592 4592 4663 4722 4756 4756 4825 4868 4893 4958 4975 5011 5034 5072 5099 5149 5183 5183 5233 5246 5267 5291 5314 5341 5357 5374 5380 5398 5421 5421 5461 5461 5461 5506 5520 5520 5520 5520 5520 5520 5520 5615 5622 5633 5644 5644 5644 5678 5680 5695 5703 5709 5709 5709 5728 5732 5742 5756 5764 5764 5764 5777 5779 5787 5790 5793 5793 5793 5815 5815 5824 5828 5833 5833 5833 5833 5851 5862 5869 5869 5869 5869 5869 5942 5972 6001 6026 6026 6026 6106 6118 6118 6190 6224 6224 6224 6310 6330 6330 6415 6449 6449 6449 6528 6537 6537 6606 6629 6629 6629 6698 6717 6748 6760 6787 6787 6787 6787 6824 6842 6859 6875 6875 6875 6905 6911 6927 6932 6939 6939 6939 6953 6954 6965 6967 6976 6976 6976 6983 6984 6997 7003 7006 7006 7006 7020 7021 7021 7029 7034 7034 7034 7047 7050 7059 7064 7075 7075 7075 7091 7091 7104 7107 7118 7118 7118 7140 7143 7160 7173 7173 7173 7173 7218 7222 7235 7239 7242 7242 7242 7258 7258 7265 7277 7289 7289 7289 7318 7320 7333 7333 7355 7355 7355 7376 7376 7413 7456 7467 7467 7467 7467 7467 7523 7569 7569 7569 7569 7656 7668 7695 7695 7770 7770 7770 7858 7880 7923 7986 8037 8037 8037
"5" "Angola" 15 55 89 131 203 311 421 513 603 640 701 790 872 1060 1126 1212 1322 1373 1458 1540 1624 1716 1814 1846 1923 2000 2027 2119 2170 2229 2243 2276 2347 2384 2443 2477 2509 2533 2559 2610 2657 2708 2741 2776 2813 2828 2836 2847 2899 2925 2946 2966 2995 3031 3087 3142 3206 3229 3254 3301 3329 3370 3428 3473 3502 3533 3555 3561 3608 3652 3712 3770 3827 3854 3893 3936 4005 4089 4143 4180 4204 4221 4283 4361 4408 4478 4510 4579 4629 4758 4846 4914 5026 5078 5164 5332 5457 5555 5689 5778 5904 5996 6144 6288 6398 6569 6747 6836 6965 7108 7330 7498 7726 7939 8056 8157 8389 8615 8878 9099 9262 9440 9580 9731 9976 10368 10648 10924 11187 11322 11593 11852 12142 12477 12801 13084 13234 13492 13885 14108 14356 14596 14888 15070 15380 15785 16054 16391 16627 16813 16998 17199 17407 17587 17754 18041 18219 18301 18451 18562 18772 18902 19047 19152 19237 19368 19541 19736 19914 20051 20125 20195 20321 20449 20538 20818 20975 21003 21060 21129 21296 21412 21536 21619 21677 21747 21822 21938 22040 22238 22328 22405 22502 22585 22774 22977 23078 23154 23252 23353 23508 23674 23852 24076 24183 24227 24326 24557 24735 24933 25093 25224 25262 25417 25517 25605 25716 25934 26039 26109 26194 26337 26445 26621 26775 26981 27064 27186 27419 27622 27772 28030 28264 28392 28523 28787 28986 29173 29376 29526 29615 29778 29991 30228 30451 30708 30922 31103 31237 31561 31796 32075 32390 32795 32893 33185 33494 33854 34274 34655 34754 34754 35091 35415 35834 36287 36727 37242 37568 38030 38487 39030 39030 40523 41050 41390 41390 42342 42895 43250 43470 43692 43825 44027 44241 44590 44832 45053 45236 45289 45459 45644 45787 46014 46138 46222 46308 46377 46480 46573 46673 46748 46821 46880 46905 46934 46980 47030 47059 47101 47121 47171 47209 47262 47304 47322 47346 47360 47360 47387 47415 47432 47444 47458 47471
"6" "Antigua and Barbuda" 0 0 1 1 1 4 4 8 10 17 17 17 17 25 25 28 30 30 31 31 33 36 36 39 42 42 56 56 59 59 75 75 90 90 109 118 129 140 157 157 191 222 260 268 268 284 284 366 389 389 439 439 455 477 487 542 542 567 571 610 610 610 654 654 654 689 689 703 723 723 786 803 804 804 833 833 849 852 874 874 913 921 921 944 963 963 969 977 977 977 988 993 1011 1011 1014 1014 1018 1021 1023 1038 1039 1039 1042 1042 1050 1054 1057 1057 1058 1058 1058 1058 1063 1068 1068 1069 1073 1073 1073 1073 1073 1073 1073 1073 1073 1073 1073 1073 1072 1078 1079 1081 1081 1081 1082 1082 1092 1092 1093 1096 1096 1098 1098 1099 1099 1099 1099 1100 1100 1100 1101 1101 1103 1103 1104 1104 1104 1104 1104 1104 1104 1104 1104 1104 1104 1104 1104 1104 1104 1104 1104 1104 1104 1104 1104 1104 1104 1104 1104 1104 1104 1105 1105 1105 1105 1105 1106 1106 1107 1107 1107 1107 1107 1107 1108 1108 1109 1109 1109 1116 1116 1116 1118 1118 1121 1121 1121 1129 1129 1136 1144 1144 1144 1144 1144 1152 1161 1169 1169 1179 1189 1189 1213 1213 1213 1219 1238 1238 1238 1262 1262 1288 1331 1331 1381 1381 1439 1439 1439 1479 1492 1554 1556 1560 1583 1591 1600 1711 1719 1801 1815 1900 1900 2007 2007 2138 2145 2145 2145 2444 2444 2444 2444 2444 2466 2656 2656 2743 2764 2764 3001 3029 3072 3177 3244 3344 3344 3359 3422 3504 3519 3579 3591 3591 3613 3658 3671 3699 3729 3729 3759 3759 3780 3825 3835 3860 3860 3872 3872 3877 3881 3881 3899 3899 3903 3910 3910 3913 3919 3932 3932 3932 3932 3943 3943 3947 3959 3959 3959 3963 3970 3970 3972 3976 3976
"7" "Argentina" 4080 9320 15204 23426 37216 50657 64492 77838 88895 96703 105407 119190 131915 145201 157533 166465 173729 181914 194055 206167 217563 228316 236678 241709 249287 259696 270539 280010 289848 296750 301725 308339 318034 327230 336121 344495 351175 354833 359987 367781 375520 382831 389982 396039 400284 403543 407546 413610 421281 429167 435111 438820 444237 451714 459897 468131 473214 478683 481851 486509 493162 501017 508449 516340 521200 524122 529180 536487 544180 552384 560233 566511 570208 576372 584607 592911 601239 609399 616225 620257 626658 636063 644363 652601 665537 675875 683083 697097 707251 723307 737737 747639 758023 767978 781645 802515 824554 848237 872367 891786 907048 926485 953486 978643 1003642 1033114 1052233 1068500 1088961 1118106 1144038 1171254 1199138 1220358 1235370 1254163 1279658 1303376 1329429 1351849 1368351 1379745 1395665 1421903 1445982 1470068 1492620 1510644 1522226 1539607 1565583 1590058 1616589 1643952 1665421 1681771 1710451 1745994 1785646 1821530 1856998 1889169 1913970 1936621 1961222 1996621 2037701 2076908 2106749 2128095 2156270 2191625 2226642 2258933 2289883 2313510 2329925 2352120 2383257 2413014 2440642 2467576 2485633 2498676 2519968 2547228 2573106 2596886 2617249 2632880 2643275 2651881 2673268 2700587 2725050 2749073 2767628 2779733 2798122 2822187 2844860 2866037 2886925 2900959 2909959 2927236 2948826 2968249 2987505 3002023 3013584 3022434 3037423 3057446 3077143 3094438 3111699 3123929 3130864 3143628 3158705 3173337 3186837 3202459 3213595 3221101 3233656 3250413 3266296 3280411 3293894 3304250 3310333 3321516 3336366 3350102 3363888 3377437 3387240 3393381 3403561 3415973 3427370 3440739 3449211 3455394 3459121 3462757 3470929 3480693 3491289 3499449 3505338 3508317 3514452 3522571 3529565 3536412 3542219 3545944 3548017 3553375 3560106 3565434 3570087 3574405 3576891 3578288 3582181 3586287 3589818 3593479 3596295 3598090 3599020 3601317 3604334 3606844 3609337 3611645 3613096 3613718 3615880 3617717 3619751 3621484 3623333 3624326 3624888 3626426 3628251 3629747 3631388 3632952 3633838 3634224 3635205 3636421 3637705 3638791 3639544 3640014 3640345 3640761 3641825 3643139 3644489 3645847 3646637 3647037 3647949 3649252 3650470 3652011 3653396 3654304 3654844 3656071 3657486 3658971 3660560 3661933 3662745 3663293 3664431 3665771 3667035 3668475 3669746 3670674 3671267 3672555 3673904 3675471 3676931 3678545 3679637 3680228 3681645 3683267 3684820 3686575 3688093 3689188 3689834
"8" "Armenia" 329 389 618 811 1135 1444 1645 2006 2385 2722 2879 3234 3719 4167 4563 4826 5177 5267 5503 5812 6119 6302 6500 6627 6685 6823 7018 7260 7319 7492 7617 7679 7822 8012 8159 8317 8528 8679 8768 8891 9087 9267 9421 9613 9758 9846 9982 10188 10411 10602 10825 10993 11097 11263 11536 11818 12101 12384 12649 12807 13047 13407 13898 14340 14848 15270 15607 15789 16129 16877 17695 18490 18976 19293 19878 20732 21756 22647 23718 24304 24810 25611 26775 28032 29037 30131 30908 31332 32082 33230 34327 35443 36635 37225 37704 38464 39489 40720 41749 42758 43408 43918 44644 45719 46733 47694 48564 49111 49409 50076 51109 51990 52705 53469 53879 54060 54655 55463 56119 56655 57187 57454 57599 57998 58491 58916 59272 59683 59861 59944 60187 60541 60808 61038 61320 61451 61518 61730 61959 62150 62290 62471 62539 62573 62730 62860 63000 63104 63146 63227 63261 63369 63461 63569 63641 63734 63771 63803 63876 63975 64051 64146 64234 64273 64314 64396 64495 64591 64677 64758 64818 64844 64921 65021 65124 65226 65319 65388 65442 65558 65686 65812 65930 66055 66144 66197 66252 66392 66578 66726 66876 66979 67050 67188 67347 67540 67702 67889 68021 68113 68307 68527 68752 68973 69223 69389 69501 69681 69961 70194 70458 70701 70930 71067 71304 71584 71913 72216 72514 72748 72888 73201 73592 73991 74388 74818 75149 75405 75762 76266 76825 77333 77840 78225 78476 79013 79647 80330 80852 81544 81927 82202 82726 83341 83977 84572 85193 85616 85855 86356 87001 87588 88257 88988 89441 89737 90394 91150 91914 92673 93684 94191 94533 95027 95300 96239 97145 98211 99136 99598 100370 101266 102288 103222 104374 105281 105908 106799 107954 109263 110465 111796 112947 113548 114451 115668 117257 119022 120885 122582 123774 124828 126894 129497 131643 133605 135959 137143 138660 140734 143041 145137 147330 148917 149988 151220 153265 155595 157430 159607 161024 161834 162955 164630 166112 167421 168672 169554 169932 170504 171486 172505 173304 174174 174666
"9" "Australia" 35 59 79 92 111 121 146 157 170 189 209 225 235 244 264 283 296 306 315 324 330 335 341 352 355 361 369 374 381 386 393 398 404 413 417 423 426 432 435 446 454 462 467 473 475 480 486 487 493 495 501 505 512 514 522 532 540 545 553 561 571 582 596 604 609 621 636 649 665 677 687 692 705 712 729 741 758 767 771 781 786 796 805 814 827 834 851 871 879 897 908 916 923 932 940 954 960 965 971 980 994 1004 1025 1044 1059 1074 1094 1108 1131 1151 1169 1213 1228 1238 1255 1292 1325 1348 1373 1386 1399 1413 1425 1440 1459 1468 1481 1497 1506 1513 1521 1530 1532 1539 1550 1553 1558 1567 1570 1574 1578 1582 1594 1604 1621 1638 1649 1658 1671 1680 1693 1699 1712 1716 1732 1748 1766 1780 1785 1800 1803 1809 1823 1837 1848 1861 1876 1884 1897 1906 1930 1941 1955 1979 1999 2032 2074 2103 2135 2177 2218 2259 2309 2328 2379 2406 2436 2478 2526 2590 2675 2796 2898 3004 3088 3201 3346 3474 3591 3695 3841 4001 4157 4328 4493 4657 4841 5048 5301 5484 5705 5958 6187 6411 6664 6966 7273 7626 7903 8205 8585 8952 9324 9740 10233 10672 11190 11672 12349 13096 13803 14694 15601 16495 17329 18300 19415 20391 21510 22831 24186 25443 26668 28135 29783 31524 33194 34730 36196 37892 39617 41487 43562 45178 46898 48476 50119 51975 53775 55631 57203 58703 60285 61944 63753 65517 67382 69134 70606 72486 74298 76698 78756 81091 82963 84986 87375 89401 91617 94141 96656 99046 101142 102990 105019 107763 110295 112606 114779 116838 118876 120973 123517 126064 127947 130121 131805 133591 135441 137479 139365 140954 142139 143605 144740 145851 147388 148968 150502 151889 153153 154445 155646 157202 158616 160068 161183 162178 163192 164420 165687 167192 168552 170017 171224
"10" "Austria" 2096 3487 4953 6595 8906 11375 13915 15978 18256 19907 21443 23018 24935 28445 29973 31696 32963 34124 35610 37281 38983 41071 42697 43899 44908 46325 47966 49415 50915 52393 53583 54707 55948 57468 58986 60374 61707 63024 64081 65278 66747 68324 70055 71488 72672 73897 75324 77059 79026 80844 82721 84559 85829 87556 89561 91952 94045 96502 98625 100034 101954 104507 106831 109499 112056 114255 116165 118576 121104 124101 127227 130250 132753 134649 137074 140409 143766 147281 150625 153338 155750 159165 162454 165578 169473 172971 175650 178726 181727 185414 188777 191914 195197 197940 200157 202092 205193 208099 210801 213940 216192 218135 220448 223390 226068 228484 230532 232608 234725 236751 239274 241679 244008 246139 248164 249730 251355 253695 255924 258055 259670 261295 262386 263780 265424 266669 268002 269235 270261 271081 271951 273145 274078 274965 275609 276282 276758 277340 278239 278801 279478 280061 280565 280925 281323 281768 282353 282894 283392 283771 284000 284337 284737 285019 285352 285623 285985 286264 286507 286873 287156 287372 287572 287805 287917 288034 288187 288366 288494 288630 288761 288855 288913 289030 289107 289201 289377 289446 289509 289538 289597 289659 289754 289847 289922 290002 290086 290193 290313 290476 290638 290797 290989 291207 291539 291845 292186 292597 292920 293183 293499 293930 294382 294774 295123 295455 295767 296134 296686 297189 297703 298241 298693 299057 299447 300039 300544 301107 301714 302267 302717 303318 304220 305070 306075 307026 307917 308691 309557 310778 312004 313262 314590 315711 316788 317790 319364 320802 322404 323726 325141 326261 327490 329338 330848 332601 334316 336090 336695 338133 340401 342757 345098 347358 349215 350758 352454 355078 357276 359640 361542 363220 364619 365859 367881 369588 371342 373487 375075 376387 377948 380231 382280 384149 385565 388010 389414 390324 393017 394982 396860 398728 400403 401723 403113 405727 407896 410328 412725 414967 416864 419454 423181 426829 430411 434167 437791 440641 444010 448271 452519 458380 464482 470166 474689 480087 486593 495187 504575 514518 523072 531250 538962 550360 562335 574133 587285 598837 610726 621089 635505 650650 666459 681756 695798
