"Province_State";"Country_Region";"Confirmed";"Deaths"
"Afghanistan";"Afghanistan";157218;7308
"Albania";"Albania";199555;3089
"Algeria";"Algeria";210152;6058
"Andorra";"Andorra";16712;131
"Angola";"Angola";65144;1733
"Antigua and Barbuda";"Antigua and Barbuda";4141;117
"Argentina";"Argentina";5326448;116529
"Armenia";"Armenia";337931;7514
"Australian Capital Territory";"Australia";2124;14
"New South Wales";"Australia";81499;625
"Northern Territory";"Australia";286;0
"Queensland";"Australia";2125;7
"South Australia";"Australia";931;4
"Tasmania";"Australia";239;13
"Victoria";"Australia";120814;1325
"Western Australia";"Australia";1121;9
"Austria";"Austria";1143283;12388
"Azerbaijan";"Azerbaijan";585783;7807
"Bahamas";"Bahamas";22734;671
"Bahrain";"Bahrain";277585;1394
"Bangladesh";"Bangladesh";1575784;27978
"Barbados";"Barbados";24923;223
"Belarus";"Belarus";651839;5054
"Antwerp";"Belgium";241982;0
"Brussels";"Belgium";206415;0
"East Flanders";"Belgium";203151;0
"Flemish Brabant";"Belgium";142956;0
"Hainaut";"Belgium";211073;0
"Liege";"Belgium";195489;0
"Limburg";"Belgium";107552;0
"Luxembourg";"Belgium";45931;0
"Namur";"Belgium";83817;0
"Walloon Brabant";"Belgium";64388;0
"West Flanders";"Belgium";169658;0
"Belize";"Belize";30165;570
"Benin";"Benin";24850;161
"Bhutan";"Bhutan";2640;3
"Bolivia";"Bolivia";536472;19161
"Bosnia and Herzegovina";"Bosnia and Herzegovina";272798;12456
"Botswana";"Botswana";194909;2416
"Acre";"Brazil";88209;1846
"Alagoas";"Brazil";241432;6348
"Amapa";"Brazil";124550;2002
"Amazonas";"Brazil";429778;13801
"Bahia";"Brazil";1259286;27284
"Ceara";"Brazil";949599;24624
"Distrito Federal";"Brazil";517608;11026
"Espirito Santo";"Brazil";619366;13157
"Goias";"Brazil";934838;24504
"Maranhao";"Brazil";364674;10285
"Mato Grosso";"Brazil";548939;13744
"Mato Grosso do Sul";"Brazil";378510;9681
"Minas Gerais";"Brazil";2207192;56163
"Para";"Brazil";607981;16886
"Paraiba";"Brazil";460469;9526
"Parana";"Brazil";1577931;40772
"Pernambuco";"Brazil";639479;20232
"Piaui";"Brazil";331273;7185
"Rio Grande do Norte";"Brazil";381317;7488
"Rio Grande do Sul";"Brazil";1489933;36077
"Rio de Janeiro";"Brazil";1342767;69024
"Rondonia";"Brazil";276933;6636
"Roraima";"Brazil";128360;2050
"Santa Catarina";"Brazil";1232109;19976
"Sao Paulo";"Brazil";4437843;154002
"Sergipe";"Brazil";278195;6043
"Tocantins";"Brazil";232335;3916
"Brunei";"Brunei";14992;97
"Bulgaria";"Bulgaria";689356;28101
"Burkina Faso";"Burkina Faso";15711;281
"Burma";"Burma";521561;19088
"Burundi";"Burundi";20386;38
"Cabo Verde";"Cabo Verde";38362;349
"Cambodia";"Cambodia";120087;2931
"Cameroon";"Cameroon";106794;1791
"Alberta";"Canada";334203;3235
"British Columbia";"Canada";217099;2322
"Diamond Princess";"Canada";0;1
"Grand Princess";"Canada";13;0
"Manitoba";"Canada";67420;1305
"New Brunswick";"Canada";8217;123
"Newfoundland and Labrador";"Canada";2048;18
"Northwest Territories";"Canada";2059;12
"Nova Scotia";"Canada";8169;108
"Nunavut";"Canada";674;4
"Ontario";"Canada";625002;10046
"Prince Edward Island";"Canada";363;0
"Quebec";"Canada";446630;11574
"Repatriated Travellers";"Canada";13;0
"Saskatchewan";"Canada";80901;925
"Yukon";"Canada";1475;13
"Central African Republic";"Central African Republic";11708;101
"Chad";"Chad";5107;175
"Antofagasta";"Chile";65257;1267
"Araucania";"Chile";101442;1528
"Arica y Parinacota";"Chile";28533;542
"Atacama";"Chile";29442;370
"Aysen";"Chile";9642;81
"Biobio";"Chile";160598;2731
"Coquimbo";"Chile";52752;1058
"Los Lagos";"Chile";94113;1434
"Los Rios";"Chile";51717;703
"Magallanes";"Chile";29636;499
"Maule";"Chile";107581;1818
"Metropolitana";"Chile";740930;19656
"Nuble";"Chile";38098;659
"OHiggins";"Chile";72149;1602
"Tarapaca";"Chile";44047;816
"Valparaiso";"Chile";133422;3549
"Anhui";"China";1008;6
"Beijing";"China";1191;9
"Chongqing";"China";610;6
"Fujian";"China";1320;1
"Gansu";"China";344;2
"Guangdong";"China";3301;8
"Guangxi";"China";396;2
"Guizhou";"China";159;2
"Hainan";"China";190;6
"Hebei";"China";1453;7
"Heilongjiang";"China";1992;13
"Henan";"China";1637;22
"Hong Kong";"China";12427;213
"Hubei";"China";68311;4512
"Hunan";"China";1199;4
"Inner Mongolia";"China";638;1
"Jiangsu";"China";1619;0
"Jiangxi";"China";959;1
"Jilin";"China";583;3
"Liaoning";"China";784;2
"Macau";"China";77;0
"Ningxia";"China";122;0
"Qinghai";"China";30;0
"Shaanxi";"China";707;3
"Shandong";"China";1020;7
"Shanghai";"China";2853;7
"Shanxi";"China";265;0
"Sichuan";"China";1271;3
"Tianjin";"China";530;3
"Tibet";"China";1;0
"Xinjiang";"China";981;3
"Yunnan";"China";1697;2
"Zhejiang";"China";1501;1
"Amazonas";"Colombia";6902;257
"Antioquia";"Colombia";768858;16533
"Arauca";"Colombia";14020;471
"Atlantico";"Colombia";338801;9668
"Bolivar";"Colombia";160400;3023
"Boyaca";"Colombia";106325;2575
"Caldas";"Colombia";101257;2283
"Capital District";"Colombia";1462311;27612
"Caqueta";"Colombia";22990;941
"Casanare";"Colombia";35906;935
"Cauca";"Colombia";56812;1587
"Cesar";"Colombia";91733;2525
"Choco";"Colombia";16498;400
"Cordoba";"Colombia";104566;3742
"Cundinamarca";"Colombia";266162;6845
"Guainia";"Colombia";2490;30
"Guaviare";"Colombia";5158;97
"Huila";"Colombia";88945;3158
"La Guajira";"Colombia";45693;1400
"Magdalena";"Colombia";99788;3433
"Meta";"Colombia";90138;2282
"Narino";"Colombia";90375;3043
"Norte de Santander";"Colombia";98447;4508
"Putumayo";"Colombia";17016;683
"Quindio";"Colombia";57980;1793
"Risaralda";"Colombia";88454;2247
"San Andres y Providencia";"Colombia";8056;147
"Santander";"Colombia";230486;7382
"Sucre";"Colombia";59642;1627
"Tolima";"Colombia";108097;3679
"Valle del Cauca";"Colombia";416270;13165
"Vaupes";"Colombia";1795;17
"Vichada";"Colombia";3002;53
"Comoros";"Comoros";4498;150
"Congo (Kinshasa)";"Congo";58115;1104
"Costa Rica";"Costa Rica";566560;7287
"Cote d'Ivoire";"Cote d'Ivoire";61708;704
"Croatia";"Croatia";603316;10759
"Cuba";"Cuba";962220;8300
"Cyprus";"Cyprus";131951;591
"Czechia";"Czechia";2132380;32929
"Faroe Islands";"Denmark";3505;13
"Greenland";"Denmark";1332;0
"Denmark";"Denmark";478927;2872
"Diamond Princess";"Diamond Princess";712;13
"Djibouti";"Djibouti";13504;186
"Dominica";"Dominica";5955;38
"Dominican Republic";"Dominican Republic";406803;4204
"Ecuador";"Ecuador";524432;33128
"Egypt";"Egypt";356718;20347
"El Salvador";"El Salvador";119803;3771
"Equatorial Guinea";"Equatorial Guinea";13579;173
"Eritrea";"Eritrea";7318;60
"Estonia";"Estonia";221549;1791
"Eswatini";"Eswatini";46538;1248
"Ethiopia";"Ethiopia";371262;6740
"Fiji";"Fiji";52494;696
"Finland";"Finland";182284;1309
"French Guiana";"France";45802;325
"French Polynesia";"France";45609;636
"Guadeloupe";"France";55080;823
"Martinique";"France";45010;707
"Mayotte";"France";20938;185
"New Caledonia";"France";12105;276
"Reunion";"France";59048;381
"Saint Barthelemy";"France";1666;6
"Saint Pierre and Miquelon";"France";61;0
"St Martin";"France";4013;56
"Wallis and Futuna";"France";454;7
"France";"France";7433246;116473
"Gabon";"Gabon";37298;279
"Gambia";"Gambia";9989;342
"Georgia";"Georgia";838639;11927
"Baden-Wurttemberg";"Germany";819228;11700
"Bayern";"Germany";1119538;17432
"Berlin";"Germany";271262;3823
"Brandenburg";"Germany";174905;4097
"Bremen";"Germany";39504;550
"Hamburg";"Germany";113604;1888
"Hessen";"Germany";410876;8125
"Mecklenburg-Vorpommern";"Germany";69888;1323
"Niedersachsen";"Germany";373471;6329
"Nordrhein-Westfalen";"Germany";1164535;18899
"Rheinland-Pfalz";"Germany";230131;4263
"Saarland";"Germany";60690;1111
"Sachsen";"Germany";486860;10907
"Sachsen-Anhalt";"Germany";153225;3787
"Schleswig-Holstein";"Germany";95770;1788
"Thuringen";"Germany";207613;4938
"Ghana";"Ghana";130920;1209
"Greece";"Greece";924506;17959
"Grenada";"Grenada";5888;200
"Guatemala";"Guatemala";617610;15928
"Guinea";"Guinea";30763;387
"Guinea-Bissau";"Guinea-Bissau";6440;148
"Guyana";"Guyana";37773;987
"Haiti";"Haiti";25027;723
"Holy See";"Holy See";27;0
"Honduras";"Honduras";377859;10402
"Hungary";"Hungary";1068888;33866
"Iceland";"Iceland";17446;35
"Andaman and Nicobar Islands";"India";7681;129
"Andhra Pradesh";"India";2072624;14438
"Arunachal Pradesh";"India";55269;280
"Assam";"India";616568;6092
"Bihar";"India";726217;9663
"Chandigarh";"India";65448;820
"Chhattisgarh";"India";1006763;13593
"Dadra and Nagar Haveli and Daman and Diu";"India";10683;4
"Delhi";"India";1440866;25097
"Goa";"India";178866;3382
"Gujarat";"India";827408;10092
"Haryana";"India";771676;10054
"Himachal Pradesh";"India";227003;3847
"Jammu and Kashmir";"India";336531;4475
"Jharkhand";"India";349221;5140
"Karnataka";"India";2995600;38198
"Kerala";"India";5133709;39838
"Ladakh";"India";21528;213
"Lakshadweep";"India";10394;51
"Madhya Pradesh";"India";793138;10528
"Maharashtra";"India";6634444;140941
"Manipur";"India";125152;1971
"Meghalaya";"India";84444;1471
"Mizoram";"India";134373;492
"Nagaland";"India";32100;696
"Odisha";"India";1048683;8407
"Puducherry";"India";128881;1872
"Punjab";"India";603240;16596
"Rajasthan";"India";954758;8955
"Sikkim";"India";32228;403
"Tamil Nadu";"India";2725467;36463
"Telangana";"India";675614;3989
"Tripura";"India";84787;821
"Uttar Pradesh";"India";1710382;22910
"Uttarakhand";"India";344219;7407
"West Bengal";"India";1614867;19462
"Indonesia";"Indonesia";4255936;143808
"Iran";"Iran";6108882;129629
"Iraq";"Iraq";2079622;23793
"Ireland";"Ireland";560054;5652
"Israel";"Israel";1342210;8189
"Abruzzo";"Italy";87463;2586
"Basilicata";"Italy";31537;626
"Calabria";"Italy";92505;1495
"Campania";"Italy";488953;8213
"Emilia-Romagna";"Italy";453630;13774
"Friuli Venezia Giulia";"Italy";130400;3968
"Lazio";"Italy";421197;8969
"Liguria";"Italy";121878;4460
"Lombardia";"Italy";929470;34349
"Marche";"Italy";123262;3148
"Molise";"Italy";15205;504
"P.A. Bolzano";"Italy";87232;1239
"P.A. Trento";"Italy";51849;1386
"Piemonte";"Italy";397860;11882
"Puglia";"Italy";278892;6883
"Sardegna";"Italy";78676;1693
"Sicilia";"Italy";323118;7191
"Toscana";"Italy";300647;7399
"Umbria";"Italy";67419;1483
"Valle d'Aosta";"Italy";13094;479
"Veneto";"Italy";513531;11947
"Jamaica";"Jamaica";91169;2388
"Aichi";"Japan";106872;1161
"Akita";"Japan";1925;27
"Aomori";"Japan";5897;38
"Chiba";"Japan";100447;1028
"Ehime";"Japan";5412;82
"Fukui";"Japan";3115;38
"Fukuoka";"Japan";74607;624
"Fukushima";"Japan";9487;176
"Gifu";"Japan";18912;218
"Gunma";"Japan";16863;176
"Hiroshima";"Japan";22168;202
"Hokkaido";"Japan";61135;1472
"Hyogo";"Japan";78681;1396
"Ibaraki";"Japan";24449;220
"Ishikawa";"Japan";7969;129
"Iwate";"Japan";3487;53
"Kagawa";"Japan";4702;38
"Kagoshima";"Japan";9103;66
"Kanagawa";"Japan";169251;1313
"Kochi";"Japan";4167;33
"Kumamoto";"Japan";14395;136
"Kyoto";"Japan";35988;291
"Mie";"Japan";14813;163
"Miyagi";"Japan";16280;118
"Miyazaki";"Japan";6137;41
"Nagano";"Japan";8884;97
"Nagasaki";"Japan";6119;73
"Nara";"Japan";15643;149
"Niigata";"Japan";8022;61
"Oita";"Japan";8187;84
"Okayama";"Japan";15535;136
"Okinawa";"Japan";50310;398
"Osaka";"Japan";203113;3064
"Port Quarantine";"Japan";4463;4
"Saga";"Japan";5866;30
"Saitama";"Japan";115820;1057
"Shiga";"Japan";12432;104
"Shimane";"Japan";1732;5
"Shizuoka";"Japan";26786;209
"Tochigi";"Japan";15479;117
"Tokushima";"Japan";3291;66
"Tokyo";"Japan";382188;3164
"Tottori";"Japan";1669;5
"Toyama";"Japan";4868;52
"Wakayama";"Japan";5302;62
